city,state,country,location_latitude,location_longitude,title,description,property_type,status,price,bedrooms,bathrooms,amenities,property_latitude,property_longitude,primary_image_url,image_urls,image_captions
Athens,Georgia,USA,33.965237,-83.400961,"NormalBnB - 2 Blocks From Restaurants, Bars, Hospital","NormalBnB - 2 Blocks From Restaurants, Bars, Hospital is a apartment rental in Athens, Georgia, USA. It has 2 bedroom(s) and 2 bathroom(s). Amenities include Air Conditioner, Parking, View, Balcony/Terrace, Security/Safety, Sports/Activities, Fireplace/Heating, Guest Services, Internet.",apartment,available,177.00,2,2,"Air Conditioner, Parking, View, Balcony/Terrace, Security/Safety, Sports/Activities, Fireplace/Heating, Guest Services, Internet",33.960077,-83.406161,https://beta.imgservice.rentbyowner.com/640x300/normalbnb-2-blocks-from-res-us-athens-bc-6742164-0.jpg,https://beta.imgservice.rentbyowner.com/640x300/normalbnb-2-blocks-from-res-us-athens-bc-6742164-1.jpg|https://beta.imgservice.rentbyowner.com/640x300/normalbnb-2-blocks-from-res-us-athens-bc-6742164-2.jpg|https://beta.imgservice.rentbyowner.com/640x300/normalbnb-2-blocks-from-res-us-athens-bc-6742164-3.jpg|https://beta.imgservice.rentbyowner.com/640x300/normalbnb-2-blocks-from-res-us-athens-bc-6742164-4.jpg,Living room|Bedroom|Kitchen|Outdoor area
Galveston,Texas,USA,29.299250,-94.779640,Cozy Historic Beach Cottage II,"Cozy Historic Beach Cottage II is a house rental in Galveston, Texas, USA. It has 3 bedroom(s) and 2 bathroom(s). Amenities include Air Conditioner, Parking, Internet, Kitchen, Laundry.",house,available,157.00,3,2,"Air Conditioner, Parking, Internet, Kitchen, Laundry",29.307920,-94.769630,https://beta.imgservice.rentbyowner.com/640x300/cozy-historic-beach-cott-us-galveston-bc-3983612-0.jpg,https://beta.imgservice.rentbyowner.com/640x300/cozy-historic-beach-cott-us-galveston-bc-3983612-1.jpg|https://beta.imgservice.rentbyowner.com/640x300/cozy-historic-beach-cott-us-galveston-bc-3983612-2.jpg|https://beta.imgservice.rentbyowner.com/640x300/cozy-historic-beach-cott-us-galveston-bc-3983612-3.jpg|https://beta.imgservice.rentbyowner.com/640x300/cozy-historic-beach-cott-us-galveston-bc-3983612-4.jpg,Living room|Bedroom|Kitchen|Outdoor area
Provincetown,Massachusetts,USA,42.055166,-70.182571,Benchmark Inn,"Benchmark Inn is a bed and breakfast rental in Provincetown, Massachusetts, USA. It has 7 bedroom(s) and 7 bathroom(s). Amenities include Air Conditioner, Parking, Pool, View, Ocean View, Balcony/Terrace, Oceanfront, Security/Safety, Sports/Activities, Wellness Facilities, Fireplace/Heating, Guest Services, Entertainment, Hot Tub, Internet, Laundry.",bed and breakfast,available,592.00,7,7,"Air Conditioner, Parking, Pool, View, Ocean View, Balcony/Terrace, Oceanfront, Security/Safety, Sports/Activities, Wellness Facilities, Fireplace/Heating, Guest Services, Entertainment, Hot Tub, Internet, Laundry",42.044606,-70.191531,https://beta.imgservice.rentbyowner.com/640x300/benchmark-inn-us-provincetown-bc-394062-0.jpg,https://beta.imgservice.rentbyowner.com/640x300/benchmark-inn-us-provincetown-bc-394062-1.jpg|https://beta.imgservice.rentbyowner.com/640x300/benchmark-inn-us-provincetown-bc-394062-2.jpg|https://beta.imgservice.rentbyowner.com/640x300/benchmark-inn-us-provincetown-bc-394062-3.jpg|https://beta.imgservice.rentbyowner.com/640x300/benchmark-inn-us-provincetown-bc-394062-4.jpg,Living room|Bedroom|Kitchen|Outdoor area
Pasadena,California,USA,34.151170,-118.180984,The Patrician Hollywood Universal,"The Patrician Hollywood Universal is a house rental in Pasadena, California, USA. It has 5 bedroom(s) and 9 bathroom(s). Amenities include Air Conditioner, Parking, TV, View, Balcony/Terrace, Transportation/Shuttle, Security/Safety, Sports/Activities, Fireplace/Heating, Bar, Guest Services, Entertainment, Breakfast, Internet, Kitchen.",house,available,104.00,5,9,"Air Conditioner, Parking, TV, View, Balcony/Terrace, Transportation/Shuttle, Security/Safety, Sports/Activities, Fireplace/Heating, Bar, Guest Services, Entertainment, Breakfast, Internet, Kitchen",34.164040,-118.171074,https://beta.imgservice.rentbyowner.com/640x300/the-patrician-hollywood-u-us-pasadena-bc-2910673-0.jpg,https://beta.imgservice.rentbyowner.com/640x300/the-patrician-hollywood-u-us-pasadena-bc-2910673-1.jpg|https://beta.imgservice.rentbyowner.com/640x300/the-patrician-hollywood-u-us-pasadena-bc-2910673-2.jpg|https://beta.imgservice.rentbyowner.com/640x300/the-patrician-hollywood-u-us-pasadena-bc-2910673-3.jpg|https://beta.imgservice.rentbyowner.com/640x300/the-patrician-hollywood-u-us-pasadena-bc-2910673-4.jpg,Living room|Bedroom|Kitchen|Outdoor area
Radiant,Virginia,USA,38.322839,-78.194465,Hill of Content B&B,"Hill of Content B&B is a bed and breakfast rental in Radiant, Virginia, USA. It has 3 bedroom(s) and 3 bathroom(s). Amenities include Air Conditioner, Parking, Designated Smoking Area, Balcony/Terrace, Internet.",bed and breakfast,available,160.00,3,3,"Air Conditioner, Parking, Designated Smoking Area, Balcony/Terrace, Internet",38.330909,-78.201145,https://beta.imgservice.rentbyowner.com/640x300/hill-of-content-b-b-us-radiant-bc-5643765-0.jpg,https://beta.imgservice.rentbyowner.com/640x300/hill-of-content-b-b-us-radiant-bc-5643765-1.jpg|https://beta.imgservice.rentbyowner.com/640x300/hill-of-content-b-b-us-radiant-bc-5643765-2.jpg|https://beta.imgservice.rentbyowner.com/640x300/hill-of-content-b-b-us-radiant-bc-5643765-3.jpg|https://beta.imgservice.rentbyowner.com/640x300/hill-of-content-b-b-us-radiant-bc-5643765-4.jpg,Living room|Bedroom|Kitchen|Outdoor area
Crestline,California,USA,34.233750,-117.271263,Beautiful guesthouse in Crestline,"Beautiful guesthouse in Crestline is a house rental in Crestline, California, USA. It has 1 bedroom(s) and 1 bathroom(s). Amenities include Air Conditioner, Parking, Balcony/Terrace, Child Friendly, Internet, Kitchen.",house,available,110.00,1,1,"Air Conditioner, Parking, Balcony/Terrace, Child Friendly, Internet, Kitchen",34.219290,-117.262253,https://beta.imgservice.rentbyowner.com/640x300/beautiful-guesthouse-in-us-crestline-bc-5573212-0.jpg,https://beta.imgservice.rentbyowner.com/640x300/beautiful-guesthouse-in-us-crestline-bc-5573212-1.jpg|https://beta.imgservice.rentbyowner.com/640x300/beautiful-guesthouse-in-us-crestline-bc-5573212-2.jpg|https://beta.imgservice.rentbyowner.com/640x300/beautiful-guesthouse-in-us-crestline-bc-5573212-3.jpg|https://beta.imgservice.rentbyowner.com/640x300/beautiful-guesthouse-in-us-crestline-bc-5573212-4.jpg,Living room|Bedroom|Kitchen|Outdoor area
Volcano,Hawaii,USA,19.433449,-155.233996,Volcano Teapot Cottage,"Volcano Teapot Cottage is a house rental in Volcano, Hawaii, USA. It has 6 bedroom(s) and 1 bathroom(s). Amenities include Parking, View, Ocean View, Balcony/Terrace, Oceanfront, Accessibility, Transportation/Shuttle, Security/Safety, Sports/Activities, Guest Services, Internet.",house,available,225.00,6,1,"Parking, View, Ocean View, Balcony/Terrace, Oceanfront, Accessibility, Transportation/Shuttle, Security/Safety, Sports/Activities, Guest Services, Internet",19.449499,-155.229446,https://beta.imgservice.rentbyowner.com/640x300/volcano-teapot-cottage-us-volcano-bc-2501095-0.jpg,https://beta.imgservice.rentbyowner.com/640x300/volcano-teapot-cottage-us-volcano-bc-2501095-1.jpg|https://beta.imgservice.rentbyowner.com/640x300/volcano-teapot-cottage-us-volcano-bc-2501095-2.jpg|https://beta.imgservice.rentbyowner.com/640x300/volcano-teapot-cottage-us-volcano-bc-2501095-3.jpg|https://beta.imgservice.rentbyowner.com/640x300/volcano-teapot-cottage-us-volcano-bc-2501095-4.jpg,Living room|Bedroom|Kitchen|Outdoor area
Paducah,Kentucky,USA,37.088013,-88.601719,Belle Louise Historic Bed & Breakfast,"Belle Louise Historic Bed & Breakfast is a bed and breakfast rental in Paducah, Kentucky, USA. It has 6 bedroom(s) and 9 bathroom(s). Amenities include Air Conditioner, Parking, Designated Smoking Area, TV, View, Balcony/Terrace, Accessibility, Security/Safety, Sports/Activities, Fireplace/Heating, Guest Services, Entertainment, Breakfast, Internet.",bed and breakfast,available,202.33,6,9,"Air Conditioner, Parking, Designated Smoking Area, TV, View, Balcony/Terrace, Accessibility, Security/Safety, Sports/Activities, Fireplace/Heating, Guest Services, Entertainment, Breakfast, Internet",37.075513,-88.611699,https://beta.imgservice.rentbyowner.com/640x300/belle-louise-historic-bed-us-paducah-bc-6884438-0.jpg,https://beta.imgservice.rentbyowner.com/640x300/belle-louise-historic-bed-us-paducah-bc-6884438-1.jpg|https://beta.imgservice.rentbyowner.com/640x300/belle-louise-historic-bed-us-paducah-bc-6884438-2.jpg|https://beta.imgservice.rentbyowner.com/640x300/belle-louise-historic-bed-us-paducah-bc-6884438-3.jpg|https://beta.imgservice.rentbyowner.com/640x300/belle-louise-historic-bed-us-paducah-bc-6884438-4.jpg,Living room|Bedroom|Kitchen|Outdoor area
Glen Rose,Texas,USA,32.238430,-97.753783,Live Oak B&B,"Live Oak B&B is a bed and breakfast rental in Glen Rose, Texas, USA. It has 5 bedroom(s) and 5 bathroom(s). Amenities include Air Conditioner, Parking, Designated Smoking Area, Balcony/Terrace, Accessibility, Security/Safety, Sports/Activities, Wellness Facilities, Spa, Fireplace/Heating, Restaurant, Guest Services, Barbecue/Outdoor Cooking, Child Friendly, Hot Tub, Internet.",bed and breakfast,available,135.00,5,5,"Air Conditioner, Parking, Designated Smoking Area, Balcony/Terrace, Accessibility, Security/Safety, Sports/Activities, Wellness Facilities, Spa, Fireplace/Heating, Restaurant, Guest Services, Barbecue/Outdoor Cooking, Child Friendly, Hot Tub, Internet",32.244400,-97.760963,https://beta.imgservice.rentbyowner.com/640x300/live-oak-b-b-us-glen-rose-bc-2255521-0.jpg,https://beta.imgservice.rentbyowner.com/640x300/live-oak-b-b-us-glen-rose-bc-2255521-1.jpg|https://beta.imgservice.rentbyowner.com/640x300/live-oak-b-b-us-glen-rose-bc-2255521-2.jpg|https://beta.imgservice.rentbyowner.com/640x300/live-oak-b-b-us-glen-rose-bc-2255521-3.jpg|https://beta.imgservice.rentbyowner.com/640x300/live-oak-b-b-us-glen-rose-bc-2255521-4.jpg,Living room|Bedroom|Kitchen|Outdoor area
Auburn,New York,USA,42.898072,-76.549283,Serenity On The Lake,"Serenity On The Lake is a apartment rental in Auburn, New York, USA. It has 1 bedroom(s) and 1 bathroom(s). Amenities include Air Conditioner, Parking, View, Private Beach, Ocean View, Balcony/Terrace, Oceanfront, Security/Safety, Sports/Activities, Fireplace/Heating, Guest Services, Barbecue/Outdoor Cooking, Internet.",apartment,available,200.00,1,1,"Air Conditioner, Parking, View, Private Beach, Ocean View, Balcony/Terrace, Oceanfront, Security/Safety, Sports/Activities, Fireplace/Heating, Guest Services, Barbecue/Outdoor Cooking, Internet",42.894952,-76.557923,https://beta.imgservice.rentbyowner.com/640x300/serenity-on-the-lake-us-auburn-bc-3339604-0.jpg,https://beta.imgservice.rentbyowner.com/640x300/serenity-on-the-lake-us-auburn-bc-3339604-1.jpg|https://beta.imgservice.rentbyowner.com/640x300/serenity-on-the-lake-us-auburn-bc-3339604-2.jpg|https://beta.imgservice.rentbyowner.com/640x300/serenity-on-the-lake-us-auburn-bc-3339604-3.jpg|https://beta.imgservice.rentbyowner.com/640x300/serenity-on-the-lake-us-auburn-bc-3339604-4.jpg,Living room|Bedroom|Kitchen|Outdoor area
Holderness,New Hampshire,USA,43.729676,-71.580049,Squam Lake Inn,"Squam Lake Inn is a bed and breakfast rental in Holderness, New Hampshire, USA. It has 3 bedroom(s) and 3 bathroom(s). Amenities include Air Conditioner, Parking, Balcony/Terrace, Breakfast, Internet.",bed and breakfast,available,294.00,3,3,"Air Conditioner, Parking, Balcony/Terrace, Breakfast, Internet",43.714456,-71.593469,https://beta.imgservice.rentbyowner.com/640x300/squam-lake-inn-us-holderness-bc-532237-0.jpg,https://beta.imgservice.rentbyowner.com/640x300/squam-lake-inn-us-holderness-bc-532237-1.jpg|https://beta.imgservice.rentbyowner.com/640x300/squam-lake-inn-us-holderness-bc-532237-2.jpg|https://beta.imgservice.rentbyowner.com/640x300/squam-lake-inn-us-holderness-bc-532237-3.jpg|https://beta.imgservice.rentbyowner.com/640x300/squam-lake-inn-us-holderness-bc-532237-4.jpg,Living room|Bedroom|Kitchen|Outdoor area
Bristol,Virginia,USA,36.598350,-82.183763,Rosamond’s Room,"Rosamond’s Room is a apartment rental in Bristol, Virginia, USA. It has 1 bedroom(s) and 1 bathroom(s). Amenities include Air Conditioner, Parking, Wheelchair Accessible, Balcony/Terrace, Internet.",apartment,available,105.00,1,1,"Air Conditioner, Parking, Wheelchair Accessible, Balcony/Terrace, Internet",36.615860,-82.181693,https://beta.imgservice.rentbyowner.com/640x300/rosamonds-room-us-bristol-bc-4329984-0.jpg,https://beta.imgservice.rentbyowner.com/640x300/rosamonds-room-us-bristol-bc-4329984-1.jpg|https://beta.imgservice.rentbyowner.com/640x300/rosamonds-room-us-bristol-bc-4329984-2.jpg|https://beta.imgservice.rentbyowner.com/640x300/rosamonds-room-us-bristol-bc-4329984-3.jpg|https://beta.imgservice.rentbyowner.com/640x300/rosamonds-room-us-bristol-bc-4329984-4.jpg,Living room|Bedroom|Kitchen|Outdoor area
